Index,Chapter,SentimentScore
0,Chapter 1,0.016572425409047162
1,Chapter 2,0.0001379995584014131
2,Chapter 3,0.0025590077071290943
3,Chapter 4,-0.0030846063454759106
4,Chapter 5,0.016708485401459854
5,Chapter 6,0.006690379403794038
6,Chapter 7,0.016945773524720893
7,Chapter 8,0.006710570190063355
8,Chapter 9,0.007289315274642588
9,Chapter 10,0.015730574324324325
10,Chapter 11,-0.0012324848484848484
11,Chapter 12,-0.00388903292714545
12,Chapter 13,0.019126791024601245
13,Chapter 14,0.006094974715549937
14,Chapter 15,0.0008337038683859493
15,Chapter 16,-0.000455005055611729
16,Chapter 17,-0.02019925589086399
17,Chapter 18,0.0023270440251572325
18,Chapter 19,0.008914395527603074
19,Chapter 20,0.014935846030473135
20,Chapter 21,-0.006339712918660287
21,Chapter 22,0.0038733741392501914
22,Chapter 23,0.004616477272727273
23,Chapter 24,0.008034026465028356
24,Chapter 25,0.007376688197298884
25,Chapter 26,0.008745335820895522
26,Chapter 27,0.011555494049266538
27,Chapter 28,0.013676765147721582
28,Chapter 29,-0.00048220747889022924
29,Chapter 30,0.007317131713171316
30,Chapter 31,0.013420187036439858
31,Chapter 32,0.012774095071958133
32,Chapter 33,0.010593333333333335
33,Chapter 34,0.0022658610271903325
34,Chapter 35,-0.0062858441952106684
35,Chapter 36,0.005325030624744794
36,Chapter 37,0.004888268156424581
37,Chapter 38,0.018168962124938515
38,Chapter 39,0.0014514630747793776
39,Chapter 40,-0.0038981288981288983
40,Chapter 41,0.0018359322033898306
41,Chapter 42,-0.006504770164787511
42,Chapter 43,-0.0015085484411666108
43,Chapter 44,0.011563976735732461
44,Chapter 45,0.0011716461628588166
45,Chapter 46,0.008549528301886792
46,Chapter 47,-0.00939022954679223
47,Chapter 48,-0.0014865563598759049
48,Chapter 49,-0.010420276497695854
49,Chapter 50,-0.0009240591397849463
50,Chapter 51,0.011480650154798763
51,Chapter 52,0.015256833176248822
52,Chapter 53,-0.0041647649475125515
53,Chapter 54,-0.015999999999999997
54,Chapter 55,-0.006540614709110867
55,Chapter 56,-0.016151196730881494
56,Chapter 57,0.008375959079283887
57,Chapter 58,0.016623931623931623
58,Chapter 59,0.013609936575052854
59,Chapter 60,0.004110840438489647
60,Chapter 61,-0.004010695187165776
61,Chapter 62,0.012863955823293173
